date,t,GRU,CNN
1970-01-07 14:00:00,108102.0,104390.38770746782,109424.27450847886
1970-01-07 15:00:00,109915.0,106970.23213207096,107043.81118051408
1970-01-07 16:00:00,110684.0,106430.20659009034,106386.34289643558
1970-01-07 17:00:00,116393.0,106214.67256376428,106906.8644817533
1970-01-07 18:00:00,107980.0,105975.75503908307,106922.81832589363
1970-01-07 19:00:00,109208.0,105690.67889318516,106824.84210621465
1970-01-07 20:00:00,115047.0,105383.74628995584,106550.22159311808
1970-01-07 21:00:00,115328.0,105227.84900577644,105968.77068767845
1970-01-07 22:00:00,105205.0,105226.77375784313,105454.05016141129
1970-01-07 23:00:00,105686.0,105904.187683509,105812.3079212812
1970-01-08 00:00:00,111732.0,107576.27406853762,107586.39204483693
1970-01-08 01:00:00,110434.0,109682.28749563036,110422.21739703655
1970-01-08 02:00:00,108987.0,112468.71059485392,113955.41005330376
1970-01-08 03:00:00,136211.0,115493.57838670746,117380.65108189265
1970-01-08 04:00:00,120109.0,117777.65483171982,119666.05862580049
1970-01-08 05:00:00,129597.0,118864.98802682916,120404.51058854295
1970-01-08 06:00:00,117297.0,118619.1824223568,119352.34599696491
1970-01-08 07:00:00,118608.0,117086.04735828964,116994.15600999889
1970-01-08 08:00:00,107427.0,114419.5496262108,113669.3398116582
1970-01-08 09:00:00,112737.0,111318.11197947152,110176.2994162629
1970-01-08 10:00:00,109568.0,108348.35834931968,107145.61966474733
1970-01-08 11:00:00,111409.0,106016.5003750538,105043.85805289075
1970-01-08 12:00:00,105753.0,104775.6287707812,103999.12226214616
1970-01-08 13:00:00,111461.0,104684.75954693256,103510.27996464688
1970-01-08 14:00:00,111635.0,104807.00180909802,104261.78042658273
1970-01-08 15:00:00,112562.0,105870.65689404408,105306.22913919696
1970-01-08 16:00:00,106923.0,107266.65293254687,106246.14164143262
1970-01-08 17:00:00,126639.0,108521.84791110586,107086.14643790034
1970-01-08 18:00:00,124506.0,108974.90982875174,107428.27850538657
1970-01-08 19:00:00,123146.0,108991.68290997684,107100.9070078821
1970-01-08 20:00:00,119595.0,108246.61539393818,106668.3214752757
1970-01-08 21:00:00,119834.0,107336.64118776606,106296.29170378688
1970-01-08 22:00:00,121409.0,106096.88244983132,105872.31475085187
1970-01-08 23:00:00,113889.0,104674.50502890714,106011.05368058468
