dataset,sampling_rate,device,GRU_pred,GRU_train,CNN_pred,CNN_train
IoT,15min,cuda:0,5.984603615473036e-05,1899.0770349502563,1.6088794888998206e-05,1263.960096359253
IoT,1h,cuda:0,4.053910573323568e-05,573.0514132976532,2.42206785413954e-05,356.12727427482605
IoT,5min,cuda:0,2.22180500503414e-05,4107.071588754654,1.4201471628236377e-05,2517.567244529724
alibaba,15min,cuda:0,5.001190936926639e-05,477.13441705703735,2.969756270899917e-05,391.34871196746826
alibaba,1h,cuda:0,5.469114884086277e-05,195.3628261089325,0.0001181415889574,213.3190197944641
alibaba,5min,cuda:0,5.447271451428162e-05,1480.2957599163055,0.0010315974553426,1056.1769745349884
avazu,15min,cuda:0,3.631412982940674e-05,756.2507424354553,1.811637328221248e-05,553.2116250991821
avazu,1h,cuda:0,4.783130827404204e-05,254.3056538105011,2.849102020263672e-05,226.76493072509768
avazu,5min,cuda:0,3.257657908186128e-05,2693.7218232154846,1.5501357332060608e-05,2022.3287286758425
google,15min,cuda:0,3.444345811953271e-05,1705.229185819626,2.669455701870811e-05,1137.8184792995453
google,1h,cuda:0,8.291138543023003e-05,581.3023247718811,4.469023810492622e-05,430.61286973953247
google,5min,cuda:0,5.421244408473496e-05,4733.074438333511,1.4446589572370544e-05,4545.029878616333
horton,15min,cuda:0,7.543563842773437e-05,1012.294379234314,1.7378623025459157e-05,780.6455223560333
horton,1h,cuda:0,8.495518418609119e-05,367.1787078380585,4.127768219494429e-05,260.86035108566284
horton,5min,cuda:0,3.432013370372631e-05,3209.827688217163,1.896890225233855e-05,3213.047132730484
retailrocket,15min,cuda:0,2.646565140036871e-05,1534.462293624878,1.6456827558484162e-05,1185.9736154079435
retailrocket,1h,cuda:0,5.732642279730903e-05,419.6044235229492,2.3794174194335937e-05,373.7365050315857
retailrocket,5min,cuda:0,3.26117208181334e-05,4998.268738985062,2.0407054049909608e-05,3737.723963499069
taxi,15min,cuda:0,3.3312604908931284e-05,1672.8740718364716,1.6657194294537094e-05,1271.6660661697388
taxi,1h,cuda:0,5.696349673800998e-05,400.4499411582947,4.71035639444987e-05,356.9402186870575
taxi,5min,cuda:0,4.191989741049522e-05,4824.56196475029,1.437013799493963e-05,3445.3223645687103
wiki_de,15min,cuda:0,6.478801927067097e-05,1583.7518646717072,2.161285229157332e-05,1038.87286734581
wiki_de,1h,cuda:0,5.451043446858724e-05,467.92225766181946,5.470646752251519e-05,463.3742475509644
wiki_de,5min,cuda:0,3.909256832658752e-05,4155.503004789352,1.449407624804284e-05,3499.409640073776
wiki_en,15min,cuda:0,4.41627312182191e-05,1425.00861120224,2.042432675635131e-05,1145.2812294960022
wiki_en,1h,cuda:0,8.231004079182943e-05,553.3672995567322,2.3481580946180557e-05,369.91041326522827
wiki_en,5min,cuda:0,3.156839323437903e-05,4590.184466838837,1.4762050849347076e-05,3226.8936381340027
