date,t,GRU,CNN
2012-03-13 00:00:00,114787.0,111990.49102293554,113190.0358567269
2012-03-13 00:15:00,113695.0,111959.77869544527,112020.82158654611
2012-03-13 00:30:00,112724.0,111146.33287148732,111541.92951906046
2012-03-13 00:45:00,109083.0,109952.17025809742,110726.99296444826
2012-03-13 01:00:00,102407.0,108913.8631512652,109420.805051783
2012-03-13 01:15:00,102407.0,108009.07628420804,107631.16157324944
2012-03-13 01:30:00,102407.0,107264.53855857968,106245.84143511966
2012-03-13 01:45:00,102407.0,106988.13413163886,106373.17823996373
2012-03-13 02:00:00,102407.0,106630.50752729311,107231.10780107102
2012-03-13 02:15:00,102407.0,106011.85602195175,108427.4435582495
2012-03-13 02:30:00,102407.0,105489.4133739925,108640.96668807656
2012-03-13 02:45:00,102407.0,105155.92016279323,108083.7119144686
2012-03-13 03:00:00,102407.0,104755.86804170524,107503.47403068977
2012-03-13 03:15:00,102407.0,104065.58283516752,106113.1049399597
2012-03-13 03:30:00,102407.0,103332.9611658214,105280.5042949113
2012-03-13 03:45:00,102407.0,102690.53985814948,103936.36022135467
2012-03-13 04:00:00,102407.0,102185.759027818,102318.24584713277
2012-03-13 04:15:00,102407.0,101933.63316616532,102251.12466930137
2012-03-13 04:30:00,102407.0,101891.78163168149,102161.03973878131
2012-03-13 04:45:00,102407.0,101614.38258847562,102275.85781243125
2012-03-13 05:00:00,102407.0,100979.25140151374,102381.63808768959
2012-03-13 05:15:00,102407.0,100506.40657049134,102358.0372728557
2012-03-13 05:30:00,102407.0,100574.5898201184,102471.83848763634
2012-03-13 05:45:00,102407.0,100910.9417982118,102459.89914067308
2012-03-13 06:00:00,102407.0,101297.88712181576,102892.8933387663
2012-03-13 06:15:00,102407.0,101658.51392000048,103181.7838285194
2012-03-13 06:30:00,102407.0,101947.86758854316,103427.32116034432
2012-03-13 06:45:00,102407.0,102116.02884440222,103637.4106539501
2012-03-13 07:00:00,102407.0,102199.32949109086,104120.99765535664
2012-03-13 07:15:00,102407.0,102373.68679819624,104301.65624505884
2012-03-13 07:30:00,102407.0,102531.95041081477,104404.16136085139
2012-03-13 07:45:00,102407.0,102575.42547940856,104454.59074507325
2012-03-13 08:00:00,110175.0,102792.12323111323,104454.59074507325
2012-03-13 08:15:00,109811.0,104615.40513466968,105723.98319832628
2012-03-13 08:30:00,109932.0,106543.84409579498,107214.72778650688
2012-03-13 08:45:00,110296.0,108231.7068873198,108524.10401563502
2012-03-13 09:00:00,126075.0,109600.56428717512,109875.3869050275
2012-03-13 09:15:00,131779.0,112253.5118094015,113524.41324979918
2012-03-13 09:30:00,139183.0,115788.9439636295,118505.77223159216
2012-03-13 09:45:00,137241.0,119862.10501616698,124735.5219974106
2012-03-13 10:00:00,136391.0,122894.17450334108,130665.48158857392
2012-03-13 10:15:00,133721.0,123588.6993503824,133873.62995139248
2012-03-13 10:30:00,131294.0,123134.68522374942,135323.19292172955
2012-03-13 10:45:00,132993.0,121416.55879813147,134673.47225873868
2012-03-13 11:00:00,135542.0,119804.73465811586,134111.11432973543
2012-03-13 11:15:00,135056.0,118776.55858919086,133455.88392255898
2012-03-13 11:30:00,136513.0,118558.11694780432,133028.02053594848
2012-03-13 11:45:00,132750.0,120133.25108653812,132874.25665506802
2012-03-13 12:00:00,131779.0,121087.7523769903,132230.42312880373
2012-03-13 12:15:00,130565.0,121425.77566629664,130545.72407980051
2012-03-13 12:30:00,137241.0,121131.88771976212,129102.39641769597
2012-03-13 12:45:00,145008.0,120369.16247594103,129219.44360247985
2012-03-13 13:00:00,145130.0,121931.61678322242,131994.29050828016
2012-03-13 13:15:00,143552.0,124504.38848936067,135277.16967444267
2012-03-13 13:30:00,138212.0,127593.2581605248,137522.37154307606
2012-03-13 13:45:00,138333.0,129854.40549339334,138067.84606525404
2012-03-13 14:00:00,125104.0,131231.34119859882,137291.86473340943
2012-03-13 14:15:00,126924.0,128791.40483644784,133870.5616531585
2012-03-13 14:30:00,122555.0,125018.0866510838,130526.94976344117
2012-03-13 14:45:00,121705.0,121132.46692005884,127231.73561351285
2012-03-13 15:00:00,102529.0,117376.91847040797,123549.22643475392
2012-03-13 15:15:00,102529.0,114017.08287771304,119863.59028479007
2012-03-13 15:30:00,102650.0,111492.46826882772,116537.50179779247
2012-03-13 15:45:00,103014.0,110365.18832539246,116469.12198304685
2012-03-13 16:00:00,104107.0,109549.9338335775,117909.48271862403
2012-03-13 16:15:00,103864.0,109653.66806075092,120064.86219483885
2012-03-13 16:30:00,105442.0,109146.15855905628,120105.11384979564
2012-03-13 16:45:00,108355.0,108492.263500613,118087.35365029314
2012-03-13 17:00:00,106534.0,108370.24691357094,116956.89881014853
2012-03-13 17:15:00,107262.0,108542.46352715716,114078.05060467626
2012-03-13 17:30:00,108961.0,109226.63765903308,111894.6908086789
2012-03-13 17:45:00,108961.0,109727.10213102755,109662.05115018226
2012-03-13 18:00:00,102407.0,109657.55815316254,106409.4908074346
2012-03-13 18:15:00,102407.0,108489.47561032543,105706.97163153155
2012-03-13 18:30:00,102407.0,106842.0393629314,105474.64326093618
2012-03-13 18:45:00,102407.0,105205.9119337634,105603.78999267881
2012-03-13 19:00:00,102407.0,104053.02223100798,106229.81810321388
