date,t,GRU,CNN
2015-07-03 22:15:00,137708.0,126366.58494242634,127114.08455937632
2015-07-03 22:20:00,146884.0,129703.85934263002,128567.71656699563
2015-07-03 22:25:00,127172.0,132552.0518986753,130818.22898148472
2015-07-03 22:30:00,127512.0,130696.51426273836,127208.73417366178
2015-07-03 22:35:00,124453.0,129920.39698612544,126023.53316083652
2015-07-03 22:40:00,122414.0,128446.91097634032,124413.8861790009
2015-07-03 22:45:00,117996.0,127256.49830961936,123333.70448116264
2015-07-03 22:50:00,117316.0,124191.23231542612,122067.39274882805
2015-07-03 22:55:00,124113.0,124011.21605741917,120252.20348287882
2015-07-03 23:00:00,120715.0,123562.2505543138,121488.40618700866
2015-07-03 23:05:00,117656.0,122428.72582491864,121263.64047194908
2015-07-03 23:10:00,121054.0,121311.49129306602,120689.73003517729
2015-07-03 23:15:00,120035.0,122000.31217942046,121366.27461488011
2015-07-03 23:20:00,121054.0,123052.32826509536,119916.2029030961
2015-07-03 23:25:00,113577.0,120700.9969597924,118219.5270181138
2015-07-03 23:30:00,117656.0,117802.00504628946,115514.81337309528
2015-07-03 23:35:00,113917.0,119624.99836096464,116702.07373603836
2015-07-03 23:40:00,119355.0,117030.28750853326,116414.77390746422
2015-07-03 23:45:00,123433.0,117846.86151627636,117400.58436082173
2015-07-03 23:50:00,117656.0,119537.42317324408,118168.0372556387
2015-07-03 23:55:00,114937.0,117599.87902728286,116907.51198639759
2015-07-04 00:00:00,120035.0,118567.71892519583,116406.96398228014
2015-07-04 00:05:00,113917.0,119230.37045151276,117205.68120589355
2015-07-04 00:10:00,115956.0,115303.28109175792,115204.8250541472
2015-07-04 00:15:00,115277.0,117134.78794251752,114989.81940170036
2015-07-04 00:20:00,114937.0,115142.56399359532,114502.12889665997
2015-07-04 00:25:00,117996.0,114972.56306176768,113941.87453503886
2015-07-04 00:30:00,108819.0,116157.96403183904,115169.35714765593
2015-07-04 00:35:00,116296.0,112743.84020948374,113055.81064242143
2015-07-04 00:40:00,111198.0,116121.88545889263,114029.52034146474
2015-07-04 00:45:00,113238.0,113700.54518490491,111574.86520635484
2015-07-04 00:50:00,117316.0,113069.47397141789,110990.49511773566
2015-07-04 00:55:00,108140.0,114572.32556422228,112702.10395590567
2015-07-04 01:00:00,105421.0,111503.06643061228,110296.23704201439
2015-07-04 01:05:00,120375.0,109469.52270648074,109362.92588320367
2015-07-04 01:10:00,112218.0,113877.10910500304,113465.71491726214
2015-07-04 01:15:00,112558.0,111313.30927481977,111173.33163025999
2015-07-04 01:20:00,115277.0,111836.249310129,110433.78034046441
2015-07-04 01:25:00,115617.0,113630.0359762481,112728.58178537016
2015-07-04 01:30:00,109499.0,115643.18586962264,112752.8386676775
2015-07-04 01:35:00,124453.0,110685.1732624304,110700.12254892617
2015-07-04 01:40:00,120375.0,116480.3782634419,115563.18864435553
2015-07-04 01:45:00,114257.0,118106.56527662349,116301.53064246579
2015-07-04 01:50:00,113917.0,114607.45987606262,114318.71136645773
2015-07-04 01:55:00,110179.0,114715.80119499667,113793.22322847575
2015-07-04 02:00:00,111538.0,112544.3287707973,111550.45445767973
2015-07-04 02:05:00,110859.0,112711.59456612436,110927.3829856221
2015-07-04 02:10:00,110179.0,113110.02379184306,111826.20350394576
2015-07-04 02:15:00,111538.0,111431.17387712086,111480.97914390582
