date,t,LASTOBSERVED,LASTDAY,SimpleExpSmoothing,ExpSmoothing,ARIMA,SARIMA
2019-10-23 17:00:00,141558,147325.0,142685.0,147291.05588859878,140979.7949517061,143487.80426228972,142180.07497939517
2019-10-23 18:00:00,122436,144441.5,128676.0,144438.8605840209,124696.3028830319,131075.70573180204,127819.6796419236
2019-10-23 19:00:00,105619,137106.33333333334,107136.0,137136.49149814635,107326.04114610692,117415.62046253688,104267.46950941945
2019-10-23 20:00:00,104860,129234.5,105325.0,129278.25956526776,103611.52934326572,109195.69954034372,102968.73770407832
2019-10-23 21:00:00,102709,124359.6,102086.0,124395.45121598084,100971.72235295214,108424.25351186527,100117.1885080634
2019-10-23 22:00:00,100008,120751.16666666669,100041.0,120782.83869483306,99521.86133351864,108031.62120824988,98526.00078570133
2019-10-23 23:00:00,99904,117787.85714285714,100636.0,117816.94157849195,101204.9787643498,108231.6354365633,99318.08995456967
2019-10-24 00:00:00,100609,115552.375,99734.0,115577.89735548076,99550.01265320968,108734.66451295056,98479.67483346316
2019-10-24 01:00:00,99833,113892.0,100216.0,113914.2951980909,99677.7467335044,109313.84765837745,99222.49071986652
2019-10-24 02:00:00,100587,112486.1,100979.0,112506.55191725129,102781.84980452976,109539.08536130724,100028.07614485172
2019-10-24 03:00:00,104129,111404.36363636365,103403.0,111422.6153167692,107456.55721910154,109901.04295741576,102504.9994682436
2019-10-24 04:00:00,116483,110798.08333333331,116415.0,110813.33664425176,122392.21763654154,110511.23473985105,115664.06606558194
2019-10-24 05:00:00,135509,108227.91666666669,135598.0,108240.8437665546,135346.07301162925,112174.38755659923,134886.24865557274
2019-10-24 06:00:00,124236,107723.83333333331,124403.0,107726.41838549943,123703.59495076748,114801.25348694468,123783.90110831174
2019-10-24 07:00:00,109273,107873.83333333331,109291.0,107873.09625859416,115369.42802969505,113707.55336002806,109231.6266437474
2019-10-24 08:00:00,107810,108178.33333333331,107811.0,108176.8071479596,109772.46354412296,111898.4719415148,107820.12901552416
2019-10-24 09:00:00,108606,108424.16666666669,108572.0,108422.92986907314,109176.67043511815,111103.31257991084,108615.93220501968
2019-10-24 10:00:00,111455,108915.58333333331,111451.0,108913.12006601204,112571.41287678038,110890.0348321951,111435.3102103824
2019-10-24 11:00:00,112197,109869.5,112197.0,109864.7181003301,112066.71761080048,111263.13990981173,112192.550884048
2019-10-24 12:00:00,110561,110893.91666666669,110581.0,110888.770673835,110483.60369795992,111461.317562668,110643.99206448375
2019-10-24 13:00:00,116184,111723.25,116231.0,111719.0776033692,116005.83906375583,111385.86392459598,116201.02133475873
2019-10-24 14:00:00,130727,113085.83333333331,130294.0,113078.99955468353,130334.89272392594,112135.33883892022,130307.14305980352
2019-10-24 15:00:00,140068,115597.5,140588.0,115584.9074977734,140531.29416364428,114047.94658868705,140673.23515035314
2019-10-24 16:00:00,145967,118592.41666666669,147325.0,118577.37912082218,147841.09597252557,115500.19135114526,147283.56668238938
2019-10-24 17:00:00,136859,121049.41666666669,141558.0,121037.05647893743,141306.69461461715,116562.965383312,141398.52998967827
2019-10-24 18:00:00,117316,121161.91666666669,122436.0,121161.29236572803,124349.07619032012,115449.2518317252,121857.07845680504
2019-10-24 19:00:00,105632,120585.25,105619.0,120588.13021182864,107124.443140025,112782.874349896,104628.20154889084
2019-10-24 20:00:00,104807,120281.83333333331,104860.0,120283.36481772584,103671.95821011064,110733.45381811447,103926.7296692406
2019-10-24 21:00:00,101597,120031.58333333331,102709.0,120032.84224075532,100820.18565050482,110129.76902604935,101763.19171707772
2019-10-24 22:00:00,100558,119447.5,100008.0,119450.42671120378,99091.32470279798,109622.3042699184,98955.70739761926
2019-10-24 23:00:00,99964,118539.41666666669,99904.0,118543.97171688935,98911.81126535108,109640.20686668332,98916.72677687672
2019-10-25 00:00:00,99877,117520.0,100609.0,117525.11985858448,98946.29071104336,109658.62096739929,99618.76377043824
2019-10-25 01:00:00,100708,116629.66666666669,99833.0,116634.14393262628,99115.94921876356,109793.15859176707,98776.00928080908
2019-10-25 02:00:00,100206,115340.0,100587.0,115346.81678113878,101838.5029141993,109979.19156171934,99625.74269585736
2019-10-25 03:00:00,103625,112796.58333333331,104129.0,112809.67883174065,106596.76195995868,109987.20955803255,103078.9469048376
2019-10-25 04:00:00,116447,109759.66666666669,116483.0,109775.26105866028,121581.87934083592,110466.61884820396,115446.16175474956
2019-10-25 05:00:00,135616,107299.66666666669,135509.0,107312.38896979488,134517.41508977278,112149.63698682642,134595.1122371206
2019-10-25 06:00:00,123584,107196.08333333331,124236.0,107197.00919268392,123260.81903780071,114810.35131535555,123759.3767560789
2019-10-25 07:00:00,108935,107718.41666666669,109273.0,107716.15396046505,115280.32658904542,113641.98704517425,109160.42927589144
2019-10-25 08:00:00,107809,107993.66666666669,107810.0,107992.62343430393,109672.60183210296,111917.1766108874,107616.0497282278
2019-10-25 09:00:00,108597,108243.83333333331,108606.0,108242.92161500647,109091.96089531427,111204.03526378427,108427.70443727226
2019-10-25 10:00:00,111456,108827.16666666669,111455.0,108824.58977257664,112701.66205303064,111066.91231385224,111378.7305890983
2019-10-25 11:00:00,112164,109735.33333333331,112197.0,109731.1239466978,112036.41973783044,111504.98598004052,112056.01172121064
2019-10-25 12:00:00,110580,110752.0,110561.0,110747.23995090176,112796.33604748169,111748.02010843334,110419.82087907556
2019-10-25 13:00:00,116204,111643.91666666669,116184.0,111639.77761425608,122537.5497210884,111713.85597590543,116113.67123183393
2019-10-25 14:00:00,130671,112935.25,130727.0,112931.11094163766,130156.65100798264,112502.78244632472,130566.71540061258
2019-10-25 15:00:00,142349,115474.0,140068.0,115463.6138884126,140372.3976428724,114455.39132092964,139949.67749037218
2019-10-25 16:00:00,150774,118701.0,145967.0,118687.14140314644,147930.4147994842,116241.75779482746,146105.9160983104
2019-10-25 17:00:00,146800,121561.58333333331,136859.0,121549.5394573868,141771.6367899434,117655.03457244804,137420.9543535522
2019-10-25 18:00:00,133297,122493.58333333331,117316.0,122491.191447658,125476.14219504494,117239.09679658397,118750.03590051834
2019-10-25 19:00:00,111014,123303.0,105632.0,123301.26929094268,109336.86867438527,115235.10056369612,108521.52633901288
2019-10-25 20:00:00,105339,123476.25,104807.0,123477.70343015908,106271.44697645125,111859.74786124758,108047.1952469435
2019-10-25 21:00:00,102273,123270.41666666669,101597.0,123271.37029412448,103377.7016193466,110581.14820022084,104841.63148367588
2019-10-25 22:00:00,99805,122743.41666666669,100558.0,122745.98568414466,101665.84160434669,109799.43384721495,103866.86180589964
2019-10-25 23:00:00,100572,121772.5,99964.0,121777.29667776142,101413.27780049694,109678.20960120026,103192.8924841286
2019-10-26 00:00:00,99895,120806.5,99877.0,120811.28323272952,101502.88184488296,109959.3342013213,103177.29260728486
2019-10-26 01:00:00,99908,119916.08333333331,100708.0,119920.48858217102,101681.71212256368,110116.09374244728,103998.57933795378
2019-10-26 02:00:00,100886,118558.08333333331,100206.0,118562.48457504448,101821.3004659071,110304.781420647,103420.52651295616
2019-10-26 03:00:00,102090,116076.0,103625.0,116086.03333851154,105170.37049297552,110516.66541299236,106919.33294395772
2019-10-26 04:00:00,110307,112721.08333333331,116447.0,112735.50899899554,117736.82027591724,110734.62409549144,119370.18307528133
2019-10-26 05:00:00,116231,109348.83333333331,135616.0,109363.36762729798,136041.4797511392,111846.486954537,137554.48330687467
2019-10-26 06:00:00,107115,106801.41666666669,123584.0,106811.82733710617,123019.00127206765,112695.8406576706,122881.42736028286
2019-10-26 07:00:00,105540,104619.58333333331,108935.0,104628.14546898851,106912.598361023,111672.38142884216,105518.18328512578
2019-10-26 08:00:00,105278,104163.41666666669,107809.0,104162.66604874031,105021.00170053334,111378.90607568326,103922.2154418024
2019-10-26 09:00:00,105638,104158.33333333331,108597.0,104157.69525092428,105435.99352859044,111045.99558591572,104482.79038938264
2019-10-26 10:00:00,107532,104438.75,111456.0,104436.67292456822,107304.2817000395,111088.9326471561,107028.64737679229
2019-10-26 11:00:00,107989,105082.66666666669,112164.0,105078.76489626976,106548.20131394356,111320.05799725535,107478.75921667909
2019-10-26 12:00:00,106961,105700.75,110580.0,105696.96827279495,106560.39470986584,111451.03968103384,105477.16793505666
2019-10-26 13:00:00,110465,106289.58333333331,116204.0,106285.94845634424,114939.23581105065,111369.80697395686,110813.67386024458
2019-10-26 14:00:00,115708,107169.33333333331,130671.0,107164.244607262,124141.2308216557,111826.84619059316,124852.3724654588
2019-10-26 15:00:00,112637,108404.5,142349.0,108397.6269213499,130823.79428469192,112513.0204171283,135105.4750383917
2019-10-26 16:00:00,110285,109283.41666666669,150774.0,109278.31591625366,135349.1081827423,112216.25766176166,141043.9321760312
2019-10-26 17:00:00,107401,109281.58333333331,146800.0,109280.89519456153,127198.61805799948,111927.03420710588,134144.89476294586
2019-10-26 18:00:00,104542,108545.75,133297.0,108547.5473294854,111424.90018102112,111394.852034283,119148.20591898447
2019-10-26 19:00:00,103472,108331.33333333331,111014.0,108330.54203980068,98704.23065477956,110947.908020547,95922.00070933164
