date,t,LASTOBSERVED,LASTDAY,SimpleExpSmoothing,ExpSmoothing,ARIMA,SARIMA
1970-01-07 14:15:00,107875,111065.0,96986.0,107555.81081968202,110720.60303879777,108425.23099307538,111049.38485302108
1970-01-07 14:30:00,108070,109470.0,95763.0,107637.9407910414,107134.8212130996,107305.33332317592,107121.87594061544
1970-01-07 14:45:00,105397,109003.33333333331,95074.0,107722.71622318,108567.50361300944,108278.569860378,106890.21915195762
1970-01-07 15:00:00,111950,108101.75,101216.0,107446.64779234248,110937.48511670556,109639.2452070738,112476.21566364577
1970-01-07 15:15:00,108981,108323.0,97468.0,107893.93309897042,106300.58833092134,109061.98882958674,108317.40968158492
1970-01-07 15:30:00,107883,108599.5,97732.0,108253.61199401152,104574.12117490271,108707.6277467576,108441.13727379827
1970-01-07 15:45:00,110849,108552.75,98982.0,108407.0969205518,103447.1343893198,108350.58304277407,107673.01085936854
1970-01-07 16:00:00,112355,109915.75,99619.0,109178.62948571028,112439.26913995424,110751.21857184748,110507.8776518455
1970-01-07 16:15:00,112673,110017.0,100195.0,109607.46575226384,112352.58869413626,110271.2819502862,111134.1916211558
1970-01-07 16:30:00,109304,110940.0,96229.0,110290.52543923014,114026.46550492184,109875.10992664062,108311.24088128374
1970-01-07 16:45:00,108404,111295.25,94094.0,110805.19692276826,109173.18778192546,110721.83015075534,106822.82432807478
1970-01-07 17:00:00,114781,110684.0,107063.0,110743.94647536636,115749.54283729318,111255.50080635026,117512.7163296266
1970-01-07 17:15:00,110083,111290.5,119562.0,111024.2581463506,112211.52834695588,111601.02187701895,124733.22471082352
1970-01-07 17:30:00,122678,110643.0,116404.0,110828.53043445366,112110.23595314448,110124.98607764188,119613.07662979186
1970-01-07 17:45:00,118029,113986.5,113968.0,112429.13865068735,113124.69961254208,111987.05489774355,117275.27499071568
1970-01-07 18:00:00,113192,116392.75,114158.0,114449.03741024985,114509.97367035704,114552.27124993142,115856.15347368366
1970-01-07 18:15:00,112158,115995.5,113028.0,115232.53647291518,113721.59599635922,113030.22171316612,113364.46798476003
1970-01-07 18:30:00,105229,116514.25,105427.0,115880.6133115497,112357.53931424046,115545.04782927876,110105.01306674683
1970-01-07 18:45:00,101341,112152.0,103889.0,113980.57964972788,113948.14064906145,113214.96104748444,106777.24210590596
1970-01-07 19:00:00,111077,107980.0,111221.0,110911.2133847101,115433.04783176712,109574.61295281682,109956.95491787304
1970-01-07 19:15:00,104886,107451.25,103536.0,109141.40188129852,113693.17608155018,109472.50217235294,109148.46906190117
1970-01-07 19:30:00,112097,105633.25,113832.0,107348.0653542655,114326.50160431248,107449.67732080426,119882.25354475148
1970-01-07 19:45:00,108771,107350.25,104125.0,107349.75774084446,113572.60348339292,107031.11859696456,115297.1884783455
1970-01-07 20:00:00,111516,109207.75,105637.0,108300.7173008466,122429.18456685462,109870.09253604116,117302.42016655036
1970-01-07 20:15:00,115335,109317.5,113035.0,108821.38838940112,119895.59800395256,109259.51506950472,120596.6943683734
1970-01-07 20:30:00,120535,111929.75,104765.0,110413.42122364302,107713.13425454716,111426.355090624,107518.48898379596
1970-01-07 20:45:00,112801,114039.25,99001.0,112264.32256748991,93338.60618882404,112326.48600022208,92180.18403436718
1970-01-07 21:00:00,118429,115046.75,107430.0,113686.86906471652,107922.66689158308,112930.51336991464,106529.62422589256
1970-01-07 21:15:00,118738,116775.0,107366.0,115264.42254808088,110469.081849395,114685.05430833485,112447.54153677273
1970-01-07 21:30:00,115279,117625.75,114123.0,116470.40117781473,113044.66779433785,116428.16374447312,119992.0127754398
1970-01-07 21:45:00,108869,116311.75,120248.0,116392.45366442805,111184.61764433538,113755.2277926404,124645.4841018655
1970-01-07 22:00:00,105271,115328.75,119311.0,115850.46163311136,115065.98759092846,113879.62184214537,120481.22410573016
