date,t,LASTOBSERVED,LASTDAY,SimpleExpSmoothing,ExpSmoothing,ARIMA,SARIMA
1970-01-07 14:00:00,108102,103088.0,96448.0,104676.76747243688,107115.38658295728,107067.49312295976,105696.09279729205
1970-01-07 15:00:00,109915,105595.0,98975.0,105555.78902452668,104821.7038128714,108738.08870703696,106626.62884556565
1970-01-07 16:00:00,110684,107035.0,97534.0,106455.53620957903,106713.59972546756,109990.27492275836,107952.55020896616
1970-01-07 17:00:00,116393,107947.25,114249.0,107223.01167572684,109353.62905349852,110603.37241171188,115709.23552039544
1970-01-07 18:00:00,107980,109636.4,109126.0,108410.67243758617,106558.66367351956,111336.90534382702,111624.51487970728
1970-01-07 19:00:00,109208,109360.33333333331,108178.0,108748.8927131581,114530.87483112689,111295.822275081,117581.91585485934
1970-01-07 20:00:00,115047,109338.57142857143,105610.0,108897.6138228739,119013.66005882128,111067.06333227236,120680.4086092006
1970-01-07 21:00:00,115328,110052.125,112292.0,109346.49908519164,110493.35631765932,111354.06570155812,114390.51842405568
1970-01-07 22:00:00,105205,110638.33333333331,107298.0,109863.3553272514,103834.56490811588,111631.08020271196,108695.83244864344
1970-01-07 23:00:00,105686,110095.0,101003.0,109827.45973366238,100797.21802094368,111367.0641158863,104864.1395801746
1970-01-08 00:00:00,111732,109694.18181818182,111150.0,109619.11221725435,116007.8537553166,111070.85902309896,117453.96831670526
1970-01-08 01:00:00,110434,109864.0,111437.0,109624.01994519688,108083.49663355346,111175.6740512122,111262.48078831087
1970-01-08 02:00:00,108987,110476.16666666669,108856.0,110073.97449911764,106315.96888515318,111290.24078638626,109959.8322087332
1970-01-08 03:00:00,136211,110549.91666666669,135351.0,110330.49382196776,131983.25268516885,111279.70455957972,135448.48069794057
1970-01-08 04:00:00,120109,112741.25,120335.0,111559.29616207782,120101.7241900441,112123.09064905872,123562.92562407829
1970-01-08 05:00:00,129597,113526.66666666669,130465.0,112556.12137888063,129037.6071429958,112626.54240103147,130863.48509877756
1970-01-08 06:00:00,117297,114627.0,118580.0,113601.62110091014,119103.64396783178,112849.30630234108,119703.52395378148
1970-01-08 07:00:00,118608,115403.41666666669,119283.0,114517.19098543392,122124.0023948567,112872.50791173312,123382.9573136952
1970-01-08 08:00:00,107427,116186.75,112489.0,115366.64760103602,110561.80593078645,112697.0824589238,112437.3675280676
1970-01-08 09:00:00,112737,115551.75,115282.0,115455.47152714017,111628.69129309116,112334.974817648,113276.02674412186
1970-01-08 10:00:00,109568,115335.83333333331,107535.0,115383.65273896724,105275.15613990386,112079.37663720395,104443.2142072897
1970-01-08 11:00:00,111409,115699.41666666669,108024.0,115538.71648363204,107072.99089152722,111997.6909903555,104716.3861029436
1970-01-08 12:00:00,105753,116176.33333333331,103169.0,115856.1075665955,100549.51189662016,111936.45284646325,101104.43652056756
1970-01-08 13:00:00,111461,115678.08333333331,103088.0,115760.70548938237,101640.71981328064,111800.24906365514,102285.51636739731
1970-01-08 14:00:00,111635,115763.66666666669,108102.0,115755.04103749162,106331.21277284372,111805.12127037282,106637.33762666192
1970-01-08 15:00:00,112562,115984.33333333331,109915.0,115866.31228282471,104313.6167901818,111971.51837481889,107183.27667264755
1970-01-08 16:00:00,106923,114013.58333333331,110684.0,114927.36134789477,106024.9926125274,112098.25317395902,108011.882237706
1970-01-08 17:00:00,126639,112914.75,116393.0,113909.00612166675,112115.96517270914,112049.41643116542,113390.54973912722
1970-01-08 18:00:00,124506,112668.25,107980.0,113264.55650835474,108016.30274037342,112561.60264958144,108905.87282689352
1970-01-08 19:00:00,123146,113269.0,109208.0,113256.5550266457,117364.53545958192,113225.88638954092,118083.15781187238
1970-01-08 20:00:00,119595,113647.16666666669,115047.0,113449.1358700272,122461.5177903224,113424.2302275827,126443.7920331916
1970-01-08 21:00:00,119834,114661.16666666669,115328.0,114061.71447560788,113392.9871470108,113446.21002045149,119467.08714675368
1970-01-08 22:00:00,121409,115252.58333333331,105205.0,114663.57808921524,106399.94189273,113400.9081159718,113164.37863657722
1970-01-08 23:00:00,113889,116239.33333333331,105686.0,115457.53488633176,104735.14274069294,113443.47285437016,112459.61037636572
