date,t,LASTOBSERVED,LASTDAY,SimpleExpSmoothing,ExpSmoothing,ARIMA,SARIMA
2014-10-29 18:00:00,107210,110567.0,119895.0,110578.87969342644,107529.11645027214,110567.0,105253.42975109992
2014-10-29 19:00:00,106346,108888.5,115932.0,108902.8620459468,100504.37498372732,108888.5,101367.64345081813
2014-10-29 20:00:00,105281,108041.0,112005.0,108052.04277129532,101070.03420962908,108041.0,99028.89202660572
2014-10-29 21:00:00,102586,107351.0,111515.0,107360.61883374896,101836.95680537492,107351.0,99588.13509942353
2014-10-29 22:00:00,101903,106398.0,106190.0,106408.39541402028,99197.30655419276,106398.0,97037.71751433884
2014-10-29 23:00:00,102916,105648.83333333331,104841.0,105658.07659646282,109476.48657794132,105648.83333333331,96598.70897937952
2014-10-30 00:00:00,101519,105258.42857142857,102991.0,105265.63028447432,100028.6542437194,105258.42857142857,96282.0077984899
2014-10-30 01:00:00,102023,104791.0,105521.0,104798.17146917288,101875.4152293211,104791.0,99190.7228232598
2014-10-30 02:00:00,102929,104483.44444444444,108342.0,104489.54295024372,132895.9816067017,104483.44444444444,102929.17937800946
2014-10-30 03:00:00,105853,104328.0,119352.0,104333.03441261876,123460.4229044328,104328.0,108871.93282125713
2014-10-30 04:00:00,134527,104466.63636363635,110845.0,104469.88194673252,112075.50774625818,104466.63636363635,105169.82938856524
2014-10-30 05:00:00,121469,106971.66666666669,107146.0,106974.64174889847,116810.529449668,106971.66666666669,107267.11996754244
2014-10-30 06:00:00,114834,107880.16666666669,108558.0,107887.53283977394,133173.0146811695,107880.16666666669,109643.67183213437
2014-10-30 07:00:00,110207,108515.5,119459.0,108524.253961895,134999.08591324522,108515.5,117797.2595007714
2014-10-30 08:00:00,111414,108837.25,115995.0,108847.57881750558,120688.00847877288,108837.25,117759.5616663953
2014-10-30 09:00:00,115275,109348.33333333331,114056.0,109357.7233584503,123145.1214295408,109348.33333333331,117458.9309696412
2014-10-30 10:00:00,117800,110405.75,118851.0,110412.40366448836,121365.247898919,110405.75,121042.02982405784
2014-10-30 11:00:00,118307,111730.5,110922.0,111735.80331601854,119715.95037146704,111730.5,117053.59745815652
2014-10-30 12:00:00,122009,113013.08333333331,114832.0,113018.59073094286,118824.19850470543,113013.08333333331,120392.778771136
2014-10-30 13:00:00,122189,114720.58333333331,114951.0,114723.96716801752,123304.0892940706,114720.58333333331,122955.40370386442
2014-10-30 14:00:00,123297,116401.08333333331,118868.0,116404.59155020288,115764.95082452192,116401.08333333331,123612.64870614912
2014-10-30 15:00:00,119940,118098.41666666669,116101.0,118101.84133878046,118910.53477747591,118098.41666666669,121588.82707813468
2014-10-30 16:00:00,117307,119272.33333333331,112927.0,119278.37467105668,118735.82661861608,119272.33333333331,120983.30518142384
2014-10-30 17:00:00,112955,117837.33333333331,110567.0,117844.47877219431,117450.36290444277,117837.33333333331,118006.3283951442
2014-10-30 18:00:00,110673,117127.83333333331,107210.0,117131.41656052764,113442.48951902818,117127.83333333331,113327.0317810264
2014-10-30 19:00:00,107464,116781.08333333331,106346.0,116782.83499946933,105703.1189496562,116781.08333333331,109476.3325820858
2014-10-30 20:00:00,104488,116552.5,105281.0,116553.65167499737,101737.48941804952,116552.5,107954.10823580144
2014-10-30 21:00:00,104675,115975.33333333331,102586.0,115978.22492504166,100508.67657234048,115975.33333333331,105888.49090294744
2014-10-30 22:00:00,103283,115092.0,101903.0,115096.4311246252,100049.31935315316,115092.0,104893.13012888156
2014-10-30 23:00:00,101047,113882.25,102916.0,113888.32090562311,101145.742772513,113882.25,104923.58774812931
2014-10-31 00:00:00,101982,112443.91666666669,101519.0,112451.13868786146,100716.29798198368,112443.91666666669,103683.47023497206
2014-10-31 01:00:00,102484,110775.0,102023.0,110783.38069343928,102164.2453302142,110775.0,104254.85719595855
2014-10-31 02:00:00,105339,109132.91666666669,102929.0,109141.16898680052,106310.68814666744,109132.91666666669,105391.96082437404
2014-10-31 03:00:00,102974,107636.41666666669,105853.0,107643.94042826732,104864.641449029,107636.41666666669,107619.97847498616
2014-10-31 04:00:00,106839,106222.58333333331,134527.0,106229.690118808,113229.21994109992,106222.58333333331,122732.04631581916
2014-10-31 05:00:00,108869,105350.25,121469.0,105354.64720059404,112691.01146353009,105350.25,115687.04246150987
2014-10-31 06:00:00,124490,105009.75,114834.0,105011.47448600298,111354.59162179248,105009.75,110871.97414173164
2014-10-31 07:00:00,127338,106161.16666666669,110207.0,106155.41820576336,113253.5644602056,106161.16666666669,110601.43026385596
2014-10-31 08:00:00,116904,107817.33333333331,111414.0,107809.02375769548,119913.0347438263,107817.33333333331,113995.07182321124
2014-10-31 09:00:00,128363,108852.0,115275.0,108846.78511878848,123034.39034267596,108852.0,117062.87971646684
2014-10-31 10:00:00,122234,110826.0,117800.0,110816.10392559394,121742.31434472108,110826.0,123900.61917342618
2014-10-31 11:00:00,124901,112405.25,118307.0,112397.30426962796,120283.66788696716,112405.25,123417.50829859178
2014-10-31 12:00:00,118551,114393.08333333331,122009.0,114383.1044380148,120366.49203822874,114393.08333333331,126383.15198007214
2014-10-31 13:00:00,124863,115773.83333333331,122189.0,115766.87968885672,119892.4540719024,115773.83333333331,127059.5366030315
2014-10-31 14:00:00,123245,117638.75,123297.0,117629.39064844426,117004.7169872364,117638.75,126273.1811445951
2014-10-31 15:00:00,127764,119130.91666666669,119940.0,119123.40903657554,118992.78958055604,119130.91666666669,123822.72922843188
2014-10-31 16:00:00,123373,121196.75,117307.0,121186.38329518288,120151.56400834896,121196.75,123267.12641187022
2014-10-31 17:00:00,117695,122574.58333333331,112955.0,122567.64233314258,121657.86238724703,122574.58333333331,122767.80868174044
2014-10-31 18:00:00,118747,123310.08333333331,110673.0,123305.11504645164,119210.15543617155,123310.08333333331,120522.58921895995
2014-10-31 19:00:00,110553,122831.5,107464.0,122832.61827376092,111602.8556792138,122831.5,115484.5532796443
2014-10-31 20:00:00,106754,121432.75,104488.0,121438.49953989744,108799.92270343276,121432.75,111453.37637155395
2014-10-31 21:00:00,103755,120586.91666666669,104675.0,120589.92477956148,107214.02287240668,120586.91666666669,110120.949688424
2014-10-31 22:00:00,101985,118536.25,103283.0,118544.60018764586,105814.67038105783,118536.25,107497.46732309303
