dataset,sampling_rate,ARIMA_opt,ARIMA_tune
avazu,1h,5.980185031890869,0.07019453228644605
avazu,15min,2.8958778381347656,0.029189586639404297
avazu,5min,4.835180997848511,0.07467755977111527
IoT,1h,7.005571365356445,0.05025285777479115
IoT,15min,3.0599310398101807,0.047022430023344435
IoT,5min,6.72894811630249,0.18102541383632945
wiki_de,1h,9.505034446716309,0.10198782694221724
wiki_de,15min,3.057957649230957,0.05216762571051569
wiki_de,5min,3.424520492553711,0.10173787794822503
wiki_en,1h,6.082573890686035,0.05357908022285688
wiki_en,15min,1.8723173141479492,0.028546000471209535
wiki_en,5min,5.226089954376221,0.1378460722521317
horton,1h,3.755798101425171,0.03118037846353319
horton,15min,3.4992330074310303,0.0257016122341156
horton,5min,4.740988254547119,0.12057265197789227
retailrocket,1h,4.426316499710083,0.03906180598948261
retailrocket,15min,3.6802608966827393,0.03306828217931313
retailrocket,5min,4.456863641738892,0.11235509155210385
taxi,1h,4.563896894454956,0.037225532059622285
taxi,15min,3.0183496475219727,0.06182154216388665
taxi,5min,3.0152151584625244,0.04351272878568035
alibaba,1h,3.3595616817474365,0.03349583990433637
alibaba,15min,6.1210777759552,0.036025700745759184
alibaba,5min,3.9809255599975586,0.03395893799131783
google,1h,2.50630521774292,0.031943429814706936
google,15min,5.462347507476807,0.04449947753755173
google,5min,5.6160805225372314,0.09571264065986823
