date,t,LASTOBSERVED,LASTDAY,SimpleExpSmoothing,ExpSmoothing,ARIMA,SARIMA
2015-07-03 22:15:00,137255,123547.0,126379.0,124909.52189703716,124591.23895142884,125990.4973512195,128475.4831859566
2015-07-03 22:30:00,124793,130401.0,125019.0,129346.11947185232,125113.9178204684,128955.604791485,127212.6397224562
2015-07-03 22:45:00,119808,128531.66666666669,130457.0,128671.28606402125,127425.32141079096,129188.40717063977,132502.82009979693
2015-07-03 23:00:00,119808,126350.75,122754.0,126983.82050620724,123352.95900645672,128068.58276427594,124833.94710631113
2015-07-03 23:15:00,118222,125416.0,124453.0,125857.05550437408,123453.62223147736,126931.93695318776,126415.61599543448
2015-07-03 23:30:00,116976,120657.75,123433.0,122120.20581570709,121026.54476059024,122425.06461503814,125542.07376105164
2015-07-03 23:45:00,118675,118703.5,127059.0,119664.54783351113,118736.9629670844,118464.03826057198,129079.5621753044
2015-07-04 00:00:00,116636,118420.25,123433.0,118770.24493712364,118210.5606080999,116271.20160472058,125413.93463635416
2015-07-04 00:15:00,116070,117627.25,120715.0,117948.75055266304,114995.8058026682,114927.3032024209,122636.14770808697
2015-07-04 00:30:00,112105,117089.25,117882.0,117331.00951591766,113799.09216909396,114294.78408437796,119796.66320543752
2015-07-04 00:45:00,112898,115871.5,119582.0,116282.02947895406,113720.7312094392,113702.38697177407,121393.39634176622
2015-07-04 01:00:00,112671,114427.25,121734.0,114948.96064646394,112906.36411213086,112650.71392072138,123408.67486087164
2015-07-04 01:15:00,114484,113436.0,124453.0,113861.56416323212,111797.15942781072,111624.8802489598,126067.95288270627
2015-07-04 01:30:00,118109,113039.5,117656.0,113270.72944312308,110929.04009798904,110922.05165917124,119262.90772225232
2015-07-04 01:45:00,112784,114540.5,115050.0,114183.34011894355,112996.1888389895,111806.75711822486,116533.3968779376
2015-07-04 02:00:00,110859,114512.0,119695.0,114419.55485438656,114334.81511529304,112775.02039212796,121141.48178550888
2015-07-04 02:15:00,115390,114059.0,119808.0,114160.416534042,114451.86513884483,113401.33195890454,120972.1287318222
2015-07-04 02:30:00,116183,114285.5,124680.0,114250.31663905203,114632.80809066971,113872.91077240084,125756.29090871508
2015-07-04 02:45:00,113238,113804.0,122074.0,113929.5395290543,114620.05068952843,113556.32564035608,123036.17842345792
2015-07-04 03:00:00,115390,113917.5,120715.0,113920.88646753284,114674.6211659815,113591.10194980892,121630.47583007156
2015-07-04 03:15:00,115390,115050.25,116183.0,114732.58367615836,115147.20231073145,114547.70686525336,117398.21553008704
2015-07-04 03:30:00,115730,115050.25,114824.0,114960.8971119334,115817.35698739046,115053.00482497783,115825.05888473842
2015-07-04 03:45:00,115503,114937.0,117882.0,114943.72175741477,117376.66398737847,115133.85602476152,118771.10776204756
2015-07-04 04:00:00,119015,115503.25,120715.0,115345.86641641702,116480.43362238884,115603.5580196081,121420.75602072662
2015-07-04 04:15:00,115730,116409.5,116296.0,116110.32213503636,115981.81053993672,116331.2896531437,117084.3812949837
2015-07-04 04:30:00,109612,116494.5,120488.0,116386.43880751778,115095.99969139202,116836.53614472794,121194.76100893466
2015-07-04 04:45:00,114824,114965.0,112105.0,115364.82098550996,115011.55471568984,116232.38861980251,112821.2653443206
2015-07-04 05:00:00,108706,114795.25,118675.0,114955.45839697076,111999.15950788624,115575.8090704391,119147.08554280049
2015-07-04 05:15:00,110179,112218.0,113577.0,112987.989751427,111922.410198139,113305.31028290169,114142.78660390578
2015-07-04 05:30:00,112784,110830.25,117316.0,111437.17703008164,109444.31683607356,110923.80513172636,117750.13327008994
2015-07-04 05:45:00,106893,111623.25,109839.0,111570.9115681125,107755.45273282756,110268.45986677612,110338.14848882717
2015-07-04 06:00:00,107007,109640.5,108253.0,110183.484370147,105013.14887361604,108746.58094138707,108645.70273099052
2015-07-04 06:15:00,100776,109215.75,104854.0,109487.95342341693,100610.39534398842,107952.9539116837,105216.13060942064
2015-07-04 06:30:00,101682,106865.0,101229.0,107602.78189898204,100504.99276865908,106318.08363898972,101639.27915892754
2015-07-04 06:45:00,102815,104089.5,101796.0,105077.71266437646,98026.12397137628,103488.27991241204,102165.84624198927
2015-07-04 07:00:00,101569,103070.0,99870.0,103634.72755059612,95372.49800613208,101340.1387931316,100203.26810778012
2015-07-04 07:15:00,97151,101710.5,99643.0,102251.74493545256,95643.10893505288,99418.9337896613,99916.0634834021
2015-07-04 07:30:00,96584,100804.25,95451.0,101211.4000289372,95458.66418155894,98369.95528073778,95745.63434639602
2015-07-04 07:45:00,93526,99529.75,96131.0,100002.76295581384,94890.86312832436,97395.02911656216,96399.04836512258
2015-07-04 08:00:00,93639,97207.5,91939.0,97993.74896396672,93297.80767227148,95613.66936169995,92255.7474890018
2015-07-04 08:15:00,94319,95225.0,90467.0,96003.79113300412,93211.9248573969,93454.3352591975,90734.20289323252
2015-07-04 08:30:00,94545,94517.0,93072.0,94935.20322682988,92114.80477460404,92066.91818414265,93287.27234832924
2015-07-04 08:45:00,92959,94007.25,91033.0,94268.2638204304,91987.7095619922,91267.49425469416,91251.01579425974
2015-07-04 09:00:00,91713,93865.5,91939.0,93978.78903274664,91862.90388258206,91231.70395415474,92129.72484316792
2015-07-04 09:15:00,90580,93384.0,92053.0,93551.30170583884,92413.38966027347,91339.11635472756,92251.98690110784
2015-07-04 09:30:00,89560,92449.25,90920.0,92759.23407865396,91771.3696355094,91070.83909389967,91122.31844730448
2015-07-04 09:45:00,90014,91203.0,90353.0,91640.73607398418,91478.11198520502,90243.06876196328,90567.60942088348
2015-07-04 10:00:00,90467,90466.75,90127.0,90796.9677108102,90524.6166817327,89394.93488581355,90327.77153095911
2015-07-04 10:15:00,89900,90155.25,92393.0,90335.53570319655,90821.05563513764,88840.34444298247,92545.93642528215
2015-07-04 10:30:00,90693,89985.25,91600.0,90083.62275166216,90873.6574645906,88621.11715398167,91775.03582343268
2015-07-04 10:45:00,91939,90268.5,89107.0,90216.34261448056,91024.68120900128,88902.18764404341,89289.52130606337
2015-07-04 11:00:00,91826,90749.75,91033.0,90599.55838170822,91010.05654141292,89527.86312418782,91194.0120774132
2015-07-04 11:15:00,90240,91089.5,93072.0,90951.7504498342,91558.18398977944,90227.20251026769,93207.91334287226
2015-07-04 11:30:00,91486,91174.5,92619.0,91111.84521373824,91848.36203758826,90859.24900676616,92789.55970957996
2015-07-04 11:45:00,92959,91372.75,92279.0,91299.36294442242,92264.29664936457,91367.95780090778,92448.70046408764
2015-07-04 12:00:00,92393,91627.75,92279.0,91535.38159448346,92819.07728810058,91709.82238401983,92438.84527262536
2015-07-04 12:15:00,92053,91769.5,95112.0,91703.43160405217,93125.22709575668,91926.9417673188,95239.22170272804
2015-07-04 12:30:00,92279,92222.75,94205.0,92076.5215128707,94001.06951080111,92390.64746052268,94376.39409698053
2015-07-04 12:45:00,94432,92421.0,94772.0,92323.9503197814,94186.08240180742,92764.35571995676,94932.06274325227
2015-07-04 13:00:00,95225,92789.25,95112.0,92657.11616870384,94844.95562680947,93048.95599748996,95271.00214223536
2015-07-04 13:15:00,97151,93497.25,98170.0,93258.8349730078,96157.01012754683,93574.63378425877,98282.7191547386
2015-07-04 13:30:00,94545,94771.75,99756.0,94344.4212876996,97415.18636679038,94652.88190104211,99876.81262566482
2015-07-04 13:45:00,97264,95338.25,99643.0,95056.9294034251,98673.50675804206,95744.44169993052,99778.11699699596
2015-07-04 14:00:00,96698,96046.25,102815.0,95767.29712030003,99002.20922538896,96694.23274934146,102931.1528609641
2015-07-04 14:15:00,102022,96414.5,104175.0,96232.84165644617,101624.21726244438,97344.7518075031,104283.77939922627
2015-07-04 14:30:00,103721,97632.25,106780.0,97238.62572290038,102283.68750632727,98133.65025463956,106845.9185856748
2015-07-04 14:45:00,104514,99926.25,107347.0,99170.27754345302,106036.87650001804,99988.0335207762,107477.5448906267
2015-07-04 15:00:00,104514,101738.75,112445.0,101016.29245669916,111382.2083436471,102151.2182410849,112551.00228688247
2015-07-04 15:15:00,107913,103692.75,114257.0,102939.91851194829,116650.97167041314,104694.62523557011,114355.27919668316
2015-07-04 15:30:00,104175,105165.5,119468.0,104539.49050934915,114627.0942384454,106778.6482301034,119609.08014058144
2015-07-04 15:45:00,111538,105279.0,125586.0,105070.99145838554,115275.09864191031,107770.26528214784,125642.0211504843
2015-07-04 16:00:00,115730,107035.0,123094.0,106482.56550439938,114882.21139788876,108939.64949100696,123173.41826609624
2015-07-04 16:15:00,114937,109839.0,120601.0,108894.03758950612,114797.74345775344,111011.18115744447,120734.0048007925
2015-07-04 16:30:00,118109,111595.0,126266.0,110833.81454546572,116716.12254920228,113036.457627909,126436.37910622476
2015-07-04 16:45:00,116636,115078.5,130004.0,113883.43429860644,116549.57747533637,116418.54077040488,130105.78415352672
2015-07-04 17:00:00,117882,116353.0,131817.0,115657.6782757226,116300.92847699698,118897.20398208423,131854.02103612263
2015-07-04 17:15:00,111765,116891.0,129438.0,116545.05301418871,118397.44960433069,120118.26617004312,129515.3213724655
2015-07-04 17:30:00,115277,116098.0,130117.0,116225.28921756858,119297.4798158654,119971.4674824014,130152.03292565508
2015-07-04 17:45:00,116863,115390.0,126492.0,115626.0436603003,118980.23065580196,118737.20751684204,126615.60733095255
2015-07-04 18:00:00,112898,115446.75,124793.0,115498.6851240995,118140.196568147,117534.25399464605,124917.4878496336
2015-07-04 18:15:00,114257,114200.75,135442.0,114566.80038210028,117514.03697876744,115723.85450025657,135478.2965956586
2015-07-04 18:30:00,113917,114823.75,130344.0,114752.38767749716,116942.3535406051,115138.41655281663,130331.4767755399
2015-07-04 18:45:00,116183,114483.75,120261.0,114560.37688502116,116324.67371655346,114557.89004743344,120409.47219069532
