date,t,LASTOBSERVED,LASTDAY,SimpleExpSmoothing,ExpSmoothing,ARIMA,SARIMA
2020-02-17 20:00:00,111944,115435.0,115012.0,115448.643933197,113075.74422412438,111658.80127485577,112087.0
2020-02-17 21:00:00,110151,113689.5,114078.0,113705.08357643148,111182.88240550135,109892.02386603976,111081.5
2020-02-17 22:00:00,108001,112510.0,112903.0,112523.40658965376,111460.25664520064,109274.85837202384,109596.33333333331
2020-02-17 23:00:00,102408,111382.75,109694.0,111395.50375801044,104833.97458211888,108715.58035024365,105988.5
2020-02-18 00:00:00,96197,109587.8,104286.0,109603.60680167144,96095.09605768116,107078.95715372024,99864.4
2020-02-18 01:00:00,90709,107356.0,97281.0,107369.1723501514,89277.53296830926,105396.98039787826,92248.16666666669
2020-02-18 02:00:00,88234,104977.85714285714,93227.0,104993.09001091182,85686.77319410616,104106.40643713003,87974.28571428571
2020-02-18 03:00:00,87423,102884.875,90998.0,102899.76788203252,83686.90644723187,103857.70210525316,85777.75
2020-02-18 04:00:00,89248,101166.88888888888,91302.0,101180.58451346218,83997.9802590199,104328.10392167266,86264.55555555556
2020-02-18 05:00:00,93669,99975.0,92198.0,99986.4156208984,86622.35465142188,105556.4148917012,87458.9
2020-02-18 06:00:00,101354,99401.72727272728,95670.0,99410.09142608392,94499.66240978843,107343.34198071068,91495.45454545454
2020-02-18 07:00:00,110675,99564.41666666669,98880.0,99568.87249452608,107265.25067216188,109647.413255901,95527.0
2020-02-18 08:00:00,120261,99167.75,103877.0,99167.16902686271,114928.7032119453,112052.664103908,101750.66666666669
2020-02-18 09:00:00,118115,99860.83333333331,106226.0,99854.77842619109,112375.35478256528,114681.52448974043,105720.66666666669
2020-02-18 10:00:00,111973,100524.5,107077.0,100518.56480652106,109621.10276122276,115479.77678677144,107889.66666666669
2020-02-18 11:00:00,109884,100855.5,108268.0,100851.2287384227,109192.34498512598,114830.04857188732,109897.16666666669
2020-02-18 12:00:00,110625,101478.5,110159.0,101472.7770580822,110923.3747613019,113847.96702474222,112530.0
2020-02-18 13:00:00,111233,102680.83333333331,111021.0,102674.8060498747,112414.57975066478,113105.4280868458,114104.91666666669
2020-02-18 14:00:00,112022,104391.16666666669,112377.0,104382.5848635827,113922.11937752676,112569.41333560827,116026.25
2020-02-18 15:00:00,112888,106373.5,113131.0,106363.5454243179,115706.12554020958,112327.86532385128,117166.75
2020-02-18 16:00:00,114080,108495.58333333331,113612.0,108484.92314378824,117041.68868552882,112299.11151677927,117925.41666666669
2020-02-18 17:00:00,117965,110564.91666666669,115344.0,110554.51669905228,122074.05944538856,112496.49089921905,119867.58333333331
2020-02-18 18:00:00,121016,112589.58333333331,118178.0,112579.40800016191,124165.4356583796,113230.72553399042,122797.41666666669
2020-02-18 19:00:00,117902,114228.08333333331,115435.0,114219.83995666746,118880.08483883463,114065.0121524348,119817.25
2020-02-18 20:00:00,116344,114830.33333333331,111944.0,114827.28086645,115994.77414461107,114017.93346065596,115548.91666666669
