date,t,LASTOBSERVED,LASTDAY,SimpleExpSmoothing,ExpSmoothing,ARIMA,SARIMA
2020-02-17 19:15:00,115846,116543.0,119631.0,116547.27927890109,115629.07942023718,116518.22250662257,116068.9374571024
2020-02-17 19:20:00,116383,115846.0,118428.0,115849.50639639451,115147.95513817624,115745.45916251524,115353.56167659743
2020-02-17 19:25:00,114819,116383.0,118268.0,116380.332531982,114728.23610623863,116155.80725789053,114872.87756648092
2020-02-17 19:30:00,115092,114819.0,118099.0,114826.8066626599,115127.56717093792,114756.45216859138,114626.1641072544
2020-02-17 19:35:00,114883,115092.0,116736.0,115090.67403331328,114773.32853238004,114813.95951043176,114615.17813760272
2020-02-17 19:40:00,114723,114883.0,117746.0,114884.03837016656,114726.52643682368,114664.35898038716,114765.54305568768
2020-02-17 19:45:00,114867,114723.0,117594.0,114723.80519185084,114401.11988114416,114521.05880428191,114643.26660298197
2020-02-17 19:50:00,113961,114867.0,118123.0,114866.28402595923,114142.54588558132,114666.66320824504,114172.30689383787
2020-02-17 19:55:00,113729,113961.0,116640.0,113965.52642012978,112885.0661096018,113852.07143523778,113441.50762580936
2020-02-17 20:00:00,113889,113729.0,116447.0,113730.18263210064,114215.2518561717,113522.45232991774,112960.77518035295
2020-02-17 20:05:00,113793,113889.0,115950.0,113888.20591316048,114919.19239783312,113655.95257060009,112819.97821673748
2020-02-17 20:10:00,112742,113793.0,115260.0,113793.4760295658,113608.57443731306,113618.82986914983,112925.35192616643
2020-02-17 20:15:00,111876,112742.0,115926.0,112747.25738014784,112527.38701582052,112633.99744696773,112744.08719513653
2020-02-17 20:20:00,111884,111876.0,115292.0,111880.35628690071,111002.91773797951,111672.5885421554,112182.02168120767
2020-02-17 20:25:00,111267,111884.0,115573.0,111883.9817814345,111547.44077426304,111564.96095822845,111351.3488455766
2020-02-17 20:30:00,111980,111267.0,114418.0,111270.08490890716,112316.8594848168,111006.91934204924,110893.03501172388
2020-02-17 20:35:00,111459,111980.0,113945.0,111976.45042454454,112846.08441687128,111642.86594816102,110918.9646148908
2020-02-17 20:40:00,110946,111459.0,113496.0,111461.58725212271,111744.1379411439,111291.66899765914,111332.00703262482
2020-02-17 20:45:00,111531,110946.0,115268.0,110948.5779362606,110930.36388416323,110772.59455510529,111579.19465855416
2020-02-17 20:50:00,111555,111531.0,114811.0,111528.08788968132,110939.74674846198,111278.57024643592,111564.66032314269
2020-02-17 20:55:00,110409,111555.0,113761.0,111554.86543944842,110988.33459341744,111415.4414316786,111332.75470197544
2020-02-17 21:00:00,111066,110409.0,113616.0,110414.72932719724,111046.13659103372,110360.71882053644,111128.32010526744
2020-02-17 21:05:00,111604,111066.0,114515.0,111062.74364663598,111588.1732918966,110835.12575945474,110994.04965887102
2020-02-17 21:10:00,110641,111604.0,114474.0,111601.29371823318,111130.13819225645,111455.1442230783,110921.14535786926
2020-02-17 21:15:00,110794,110641.0,114723.0,110645.80146859116,110726.08084097586,110649.72635336478,110867.1794594279
2020-02-17 21:20:00,110312,110794.0,113697.0,110793.25900734296,110664.46608036406,110671.16761420836,110824.56488359327
2020-02-17 21:25:00,109326,110312.0,113969.0,110314.40629503672,110240.70634015372,110231.0549298898,110786.20248870319
2020-02-17 21:30:00,109158,109326.0,113825.0,109330.94203147518,109315.72688469107,109233.0173394014,110706.97601326049
2020-02-17 21:35:00,109559,109158.0,113729.0,109158.8647101574,108520.014721573,108934.45915663616,110579.27726447493
2020-02-17 21:40:00,109775,109559.0,114354.0,109556.9993235508,109322.1488385464,109305.71713661445,110408.42876451927
2020-02-17 21:45:00,110481,109775.0,114146.0,109773.90999661776,109439.10495759633,109605.92229984446,110225.60694755298
2020-02-17 21:50:00,109639,110481.0,113953.0,110477.4645499831,110014.67119020763,110350.59065252694,110036.30269551795
2020-02-17 21:55:00,109454,109639.0,113937.0,109643.1923227499,108858.74353067072,109676.78301999538,109842.07199964041
2020-02-17 22:00:00,110096,109454.0,113360.0,109454.94596161376,109955.49220900728,109390.52749631816,109654.23747100396
2020-02-17 22:05:00,112157,110096.0,113480.0,110092.79472980808,111619.24893959872,109969.0109057363,109473.87004190029
2020-02-17 22:10:00,110585,112157.0,114033.0,112146.67897364905,112612.31852161666,112044.20013577428,109313.82385816023
2020-02-17 22:15:00,110553,110585.0,113207.0,110585.00002342464,110358.0910441876,110870.79184274454,109245.77341108484
2020-02-17 22:20:00,108404,110553.0,113624.0,110553.19904197434,110603.75807348672,110616.6348132265,109283.74788662184
2020-02-17 22:25:00,107810,108404.0,112526.0,108414.74599520989,108512.66984345754,108512.55026676292,109372.14948476311
2020-02-17 22:30:00,107017,107810.0,114001.0,107813.02372997603,108555.03414973152,107608.41246214168,109190.86145291691
2020-02-17 22:35:00,107033,107017.0,112614.0,107020.98011864988,107472.28147102296,106743.63854480004,108682.55276197667
2020-02-17 22:40:00,106471,107033.0,112702.0,107032.93990059324,106941.62917709084,106669.2393009484,107929.88562098931
2020-02-17 22:45:00,105854,106471.0,111916.0,106473.80969950298,105809.4542754138,106175.83845571354,107403.6269432344
2020-02-17 22:50:00,105741,105854.0,112365.0,105857.0990484975,105460.74509308425,105555.91514311338,107188.71646552367
2020-02-17 22:55:00,104290,105741.0,111002.0,105741.58049524248,105054.8117093128,105399.06564668914,107149.20522361813
2020-02-17 23:00:00,104226,104290.0,111876.0,104297.2579024762,104654.82263337384,104040.14837639198,106509.82980193956
2020-02-17 23:05:00,104915,104226.0,112093.0,104226.35628951238,104530.70397636792,103811.05612484609,105132.24217721933
2020-02-17 23:10:00,104130,104915.0,110417.0,104911.55678144757,103187.15951214562,104498.00403850451,103248.72106572463
2020-02-17 23:15:00,103825,104130.0,109150.0,104133.90778390724,102795.37130064968,103914.75704924356,102197.1046428136
2020-02-17 23:20:00,103288,103825.0,108380.0,103826.54453891954,102834.05050277222,103567.04222708632,102210.30076035784
2020-02-17 23:25:00,102999,103288.0,107401.0,103290.6927226946,102014.519513941,103039.81768037948,103076.28338756344
2020-02-17 23:30:00,102438,102999.0,109454.0,103000.45846361348,102716.7384742658,102721.00595463353,103581.95695908682
2020-02-17 23:35:00,101940,102438.0,111187.0,102440.81229231806,102307.943221507,102178.34583826228,103517.56952909223
2020-02-17 23:40:00,101267,101940.0,109077.0,101942.5040614616,100432.85696949175,101659.25003669442,102962.28065430773
2020-02-17 23:45:00,100705,101267.0,109398.0,101270.3775203073,100331.6084308296,100979.75038624076,102347.51659419452
2020-02-17 23:50:00,99823,100705.0,109847.0,100707.82688760156,100014.8072182967,100383.14805714774,101749.05590414736
2020-02-17 23:55:00,99342,99823.0,108043.0,99827.424134438,99419.31868205704,99498.62084759376,101147.14366715479
2020-02-18 00:00:00,100136,99342.0,108348.0,99344.4271206722,98842.92132700664,98954.29570206931,100444.54841854352
2020-02-18 00:05:00,99839,100136.0,108693.0,100132.04213560336,100261.21400849835,99689.83574651356,99623.97534650468
2020-02-18 00:10:00,98909,99839.0,106535.0,99840.465210678,98865.15451241448,99584.97257953018,98688.77496669468
2020-02-18 00:15:00,97674,98909.0,106207.0,98913.6573260534,97759.49369882845,98718.24814695136,97653.7946610496
2020-02-18 00:20:00,97001,97674.0,105212.0,97680.19828663029,96622.69494641769,97435.12696514862,96520.99996789474
2020-02-18 00:25:00,96303,97001.0,104651.0,97004.39599143316,96105.20063912848,96633.8082554644,95330.10711552418
2020-02-18 00:30:00,95437,96303.0,103504.0,96306.50697995716,95803.42660123488,95901.36805139952,94315.74051510746
2020-02-18 00:35:00,94587,95437.0,102686.0,95441.3475348998,94496.77073065666,95024.14111808733,93518.08783743942
2020-02-18 00:40:00,94330,94587.0,102598.0,94591.2717376745,94125.05633552304,94142.11141068013,92914.20586991
2020-02-18 00:45:00,93809,94330.0,101555.0,94331.30635868838,93490.04596837772,93831.14161831116,92373.00019432802
